timestamp_ms,window_id,scenario,label,free_heap,min_free_heap,heap_delta,max_alloc_heap,loop_avg_ms,loop_max_ms,loop_jitter_ms,wifi_rssi,tx_count,rx_count,tx_bytes,rx_bytes,transaction_rate,byte_rate,avg_inter_arrival_ms,transaction_count,reconnect_count,socket_errors,socket_duration_ms
524421,104,ANOMALY_BURST,1,320976,320952,0,286708,5.0046,11.0410,0.2695,-127,16,16,2048,1024,6.3962,614.03,78.318,32,0,0,1.500
529425,105,ANOMALY_BURST,1,320976,320976,0,286708,5.0037,10.9930,0.2506,-127,16,16,2048,1024,6.3974,614.15,78.291,32,0,0,1.500
534430,106,ANOMALY_BURST,1,320976,320976,0,286708,5.0045,10.9930,0.2672,-127,16,16,2048,1024,6.3974,614.15,78.315,32,0,0,1.500
539444,107,ANOMALY_BURST,1,320976,320976,0,286708,19.9567,19.9930,0.5642,-127,8,8,1024,512,3.1923,306.46,0.321,16,0,0,1.500
544447,108,ANOMALY_COMPUTE,1,320976,320952,0,286708,19.9931,20.1110,0.0075,-127,0,0,0,0,0.0000,0.00,5000.000,0,0,0,0.000
549450,109,ANOMALY_COMPUTE,1,320976,320952,24,286708,19.9929,20.0750,0.0052,-127,0,0,0,0,0.0000,0.00,5000.000,0,0,0,0.000
554453,110,ANOMALY_COMPUTE,1,320976,320956,0,286708,19.9929,20.0090,0.0011,-127,0,0,0,0,0.0000,0.00,5000.000,0,0,0,0.000
559456,111,ANOMALY_COMPUTE,1,320976,320976,0,286708,19.9929,20.0300,0.0024,-127,0,0,0,0,0.0000,0.00,5000.000,0,0,0,0.000
564479,112,ANOMALY_COMPUTE,1,320976,320976,0,286708,49.6937,49.9930,2.9934,-127,0,0,0,0,0.0000,0.00,5000.000,0,0,0,0.000
569482,113,ANOMALY_MEMORY,1,320976,320952,24,286708,49.9924,49.9930,0.0047,-127,0,0,0,0,0.0000,0.00,5000.000,0,0,0,0.000
574485,114,ANOMALY_MEMORY,1,320976,320976,0,286708,49.9925,49.9940,0.0042,-127,0,0,0,0,0.0000,0.00,5000.000,0,0,0,0.000
579488,115,ANOMALY_MEMORY,1,320976,320976,0,286708,49.9930,50.0400,0.0048,-127,0,0,0,0,0.0000,0.00,5000.000,0,0,0,0.000
584491,116,ANOMALY_MEMORY,1,320976,320976,0,286708,49.9919,49.9940,0.0099,-127,0,0,0,0,0.0000,0.00,5000.000,0,0,0,0.000
589493,117,ANOMALY_MEMORY,1,320976,320976,0,286708,12.1260,50.0500,1.8743,-127,59,59,15104,7552,23.6000,4531.20,41.856,118,0,0,1.500
594505,118,ANOMALY_COMBINED,1,320976,320976,0,286708,12.0339,12.2160,0.0719,-127,60,60,15360,7680,23.9569,4599.72,41.643,120,0,0,1.500
599517,119,ANOMALY_COMBINED,1,320976,320952,24,286708,12.0334,12.2100,0.0713,-127,59,59,15104,7552,23.5576,4523.06,42.042,118,0,0,1.500
604529,120,ANOMALY_COMBINED,1,320976,320952,0,286708,12.0333,12.2090,0.0713,-127,59,59,15104,7552,23.5576,4523.06,41.736,118,0,0,1.500
609541,121,ANOMALY_COMBINED,1,320976,320976,0,286708,12.0339,12.2110,0.0718,-127,60,60,15360,7680,23.9569,4599.72,41.443,120,0,0,1.500
